"code","time_zone_id","name","city_code","country_id","location","elevation","url","icao","city","county","state"
JTA,America/Fortaleza,Pedro Teixeira Castelo Airport,JTA,BR,POINT (-40.29597814583012 -5.93260025),1457,,SDZG,Tauá,,
KJB,Asia/Kolkata,Uyyalawada Narasimha Reddy Airport,KJB,IN,POINT (78.1693148104587 15.715869600000001),920,,VOKU,Orvakal,Kurnool,
YPF,America/Vancouver,Esquimalt,YPF,CA,POINT (-123.3904221 48.4253301),0,,,,,
EHU,Asia/Shanghai,Ezhou Huahu Airport,EHU,CN,POINT (115.0474 30.346),65,,ZHEC,Ezhou,,
FZL,Asia/Baku,Fuzuli International Airport,FZL,AZ,POINT (47.1964348 39.5945705),1204,,UBBF,Fuzuli,,
KXB,Asia/Makassar,Sangia Nibandera Airport,PUM,ID,POINT (121.52424225501159 -4.3356094),88,,WAWP,Kolaka,,Sulawesi Tenggara
GDR,America/Sao_Paulo,Angra dos Reis Airport,GDR,BR,POINT (-44.307222 -22.975278),22,http://angraeroportos.com.br/,SDAG,Angra dos Reis,,
HLJ,Asia/Shanghai,Beidahuang General Airport,HLJ,CN,POINT (130.27009854 46.7932345403),255,,,Zhaodong,,
HZU,Asia/Shanghai,Chengdu Huaizhou Airport,HZU,CN,POINT (104.5295206131 30.67744769548),1397,,,Majialin Village,Jintang County,Chengdu
NGR,Pacific/Port_Moresby,Ningerum,NGR,PG,POINT (141 -6.5),78,,,,,
MXQ,America/Sao_Paulo,Lorenzo Airport,MXQ,BR,POINT (-38.91 -13.389444),22,,SNCL,Cairu,,
AFK,Asia/Colombo,Ampara Kondavattavan Tank Airport,ADP,LK,POINT (81.62931220557938 7.342169543255904),131,,,Ampara,,
JHF,America/Sao_Paulo,São Paulo Catarina Executive Airport,JHF,BR,POINT (-47.165658 -23.426886),2562,,SBJH,São Roque,,Sao Paulo
AGK,Pacific/Port_Moresby,Kagua,AGK,PG,POINT (143.84666 -6.403333),5554,,"",,,
BLL,Europe/Copenhagen,Billund Airport,BLL,DK,POINT (9.160391884322324 55.740736999999996),219,http://www.billund-airport.dk/?sc_lang=en,EKBI,Billund,Billund Kommune,South Denmark
CBA,America/Sitka,Corner Bay,CBA,US,POINT (-135.2 57.716667),242,,,,,
JSB,America/Fortaleza,Walfrido Salmito de Almeida Airport,JSB,BR,POINT (-40.883333 -4.05),2874,,SWBE,São Benedito,,Ceará
ATH,Europe/Athens,Eleftherios Venizelos International Airport,ATH,GR,POINT (23.954624286315532 37.9372535),229,http://www.aia.gr,LGAV,Spata,Nomarchia Anatolikis Attikis,Attica
TXC,Europe/Minsk,Balbasovo Air Base,TXC,BY,POINT (30.296667 54.44),620,,UMIO,Orsha,,
YLE,America/Yellowknife,Wha Ti,YLE,CA,POINT (-117.26667 63.15),882,,CEM3,,,
UHS,Asia/Sakhalin,Aleksandrovsk-Sakhalinskiy Airport,UHS,RU,POINT (142.174682 50.878037),13,,,Aleksandrovsk-Sakhalinskiy,,Sakhalin
MEH,Europe/Oslo,Mehamn Airport,MEH,NO,POINT (27.8245343 71.0298909),0,https://avinor.no/en/airport/mehamn-airport/,ENMH,Mehamn,Gamvik,Finnmark Fylke
ZMF,Europe/Rome,Beverello Harbor,NAP,IT,POINT (14.2516357 40.8400969),0,,,,,
MEI,America/Chicago,Key Field,MEI,US,POINT (-88.7525782827135 32.32774155),278,,KMEI,Meridian,Lauderdale County,Mississippi
MEL,Australia/Melbourne,Tullamarine Airport,MEL,AU,POINT (144.83348076679553 -37.667111000000006),344,http://melbourneairport.com.au/,YMML,Attwood,Hume,Victoria
MEM,America/Chicago,Memphis International Airport,MEM,US,POINT (-89.97689466513185 35.04625645),275,http://www.memphisairport.org/,KMEM,Southaven,De Soto County,Mississippi
MEN,Europe/Paris,Brenoux,MEN,FR,POINT (3.531054995040395 44.50240255),3280,,LFNB,Mende,Departement de la Lozere,Languedoc-Roussillon
MHB,Pacific/Auckland,Mechanics Bay,AKL,NZ,POINT (174.78473 -36.845),42,,,,,
MBS,America/Detroit,MBS International Airport,MBS,US,POINT (-84.08284956680652 43.535796149999996),652,http://www.mbsairport.org/,KMBS,Freeland,Saginaw County,Michigan
MBW,Australia/Melbourne,Moorabbin,MEL,AU,POINT (145.09835076618435 -37.97844885),36,http://www.moorabbinairport.com.au/,YMMB,Heatherton,,Victoria
MBY,America/Chicago,Moberly,MBY,US,POINT (-92.4296597346036 39.463150150000004),843,http://www.moberlymo.org/Government/airport.html,KMBY,Moberly,Randolph County,Missouri
AVP,America/New_York,Wilkes-Barre/Scranton International Airport,AVP,US,POINT (-75.72257122928625 41.33709205),921,http://www.flyavp.com/,KAVP,Avoca,Luzerne County,Pennsylvania
DIA,Asia/Qatar,Doha International Airport,DIA,QA,POINT (51.5646 25.2607),55,,OTBD,Doha,,
GNJ,Asia/Baku,Ganja International Airport,GNJ,AZ,POINT (46.31628304227843 40.7370535),1105,http://ganjaairport.com/,UBBG,Ganja,,
YGQ,America/Toronto,Geraldton,YGQ,CA,POINT (-86.95 49.733334),1144,,CYGQ,,,
GYO,Asia/Jakarta,Bandar Udara Senubung,GYO,ID,POINT (97.35973500023894 3.94565795),3454,,WIMG,Blangkejeren,,
HIT,Pacific/Port_Moresby,Haivaro,HIT,PG,POINT (143.0551414177596 -6.94283805),157,,AYHO,,,
YNN,Australia/Perth,Yandi,YNN,AU,POINT (119.23333 -22.766666),0,,,,,
MEO,America/New_York,Dare County Regional,MEO,US,POINT (-75.69721306543956 35.9199194),32,http://www.darenc.com/Airport/,KMQI,Manteo,Dare County,North Carolina
HSF,Asia/Shanghai,Suifenhe Dongning Airport,HSF,CN,POINT (130.84445157868504 44.454874849999996),1407,,,Suifenhe,,Heilongjiang
MEY,Asia/Kathmandu,Meghauli,MEY,NP,POINT (84.22884152637523 27.577054099999998),475,,VNMG,Bharatpur,Narayani Zone,Central Region
YOG,America/Toronto,Ogoki,YOG,CA,POINT (-85.90071375324194 51.6588906),594,,CYKP,,,
YEL,America/Toronto,Elliot Lake,YEL,CA,POINT (-82.55883994950281 46.351316499999996),1087,http://cyelont.tripod.com/cyel/,CYEL,,,
INR,America/Detroit,Kincheloe AFB,SSM,US,POINT (-84.35 46.5),606,,,,,
YFH,America/Toronto,Fort Hope,YFH,CA,POINT (-87.90900401255813 51.5615715),899,,CYFH,,,
RDL,Africa/Cairo,Al Bardawil International Airport,RDL,EG,POINT (33.1515706592 30.4095794591708),964,,,El Hassana,,North Sinai Governorate
VCC,America/Sao_Paulo,New Vacaria Airport,VCC,BR,POINT (-51.022778 -28.431944),2975,,SNEE,Vacaria,,
CSP,America/Juneau,Cape Spencer C G Heliport,CSP,US,POINT (-136.639007568 58.1991004944),0,,,,,
MKZ,Asia/Kuala_Lumpur,Malacca International Airport,MKZ,MY,POINT (102.25118690241379 2.2649362999999996),98,,WMKM,Batu Berendam,,Melaka
MLC,America/Chicago,Mc Alester,MLC,US,POINT (-95.7859407 34.8852967),754,,KMLC,McAlester,Pittsburg County,Oklahoma
YFS,America/Yellowknife,Fort Simpson,YFS,CA,POINT (-121.23533019323654 61.7609797),555,,CYFS,,,
GDB,Asia/Kolkata,Gondia Airport,GDB,IN,POINT (80.01 21.522),898,,VAGD,Gondia,,Maharashtra
AEI,Europe/Madrid,Algeciras,AEI,ES,POINT (-5.441301 36.1289),42,,,Algeciras,Provincia de Cadiz,Andalusia
LCO,Africa/Brazzaville,Lague,LCO,CG,POINT (14.533 -2.45),2756,,FCBL,,,
MLE,Indian/Maldives,Male International Airport,MLE,MV,POINT (73.5301041555218 4.1961894),0,http://www.airports.com.mv/,VRMM,Male,,Maale
AQG,Asia/Shanghai,Anqing Tianzhushan Airport,AQG,CN,POINT (117.05617994044115 30.5859116),45,,ZSAQ,Anqing,,Anhui Sheng
VBM,America/Anchorage,Blue Mountain,VBM,US,POINT (-157.08667 57.8575),131,,,,,
YHU,America/Montreal,St. Hubert Airport,YMQ,CA,POINT (-73.6 45.5),90,http://www.dashl.ca/,CYHU,,,
YIV,America/Winnipeg,Island Lake Airport,YIV,CA,POINT (-94.78333 54.2),770,,CYIV,,,
QMK,America/Godthab,Heliport,QMK,GL,POINT (-52.833332 68.25),0,,,,,
JCS,America/Fortaleza,Aeroporto De Crateus Airport,JCS,BR,POINT (-40.7045819389 -5.21230869969),1026,http://www.crateus.ce.gov.br/,SNWS,Crateus,,
AQI,Asia/Riyadh,Qaisumah Airport,AQI,SA,POINT (46.1219356 28.3342381),1181,,OEPA,Al Qaysumah,,Eastern Province
YGW,America/Montreal,Kuujjuarapik Airport,YGW,CA,POINT (-77.75632598579428 55.2824753),34,,CYGW,,,
AQJ,Asia/Amman,King Hussein International Airport,AQJ,JO,POINT (35.019039998479 29.610142699999997),154,,OJAQ,Aqaba,,Aqaba
YHF,America/Toronto,Hearst,YHF,CA,POINT (-83.68811012191951 49.714139700000004),827,,CYHF,,,
ATP,Pacific/Port_Moresby,Airstrip,ATP,PG,POINT (142.28334 -3.166667),49,,AYAI,,,
AUP,Pacific/Port_Moresby,Agaun,AUP,PG,POINT (149.58333 -9.983333),6676,,AYAG,,,
MLG,Asia/Jakarta,Abdul Rachman Saleh Airport,MLG,ID,POINT (112.7132740940317 -7.93032505),1725,,WARA,Singosari,,East Java
LVI,Africa/Lusaka,Livingstone Airport,LVI,ZM,POINT (25.79571488398148 -17.81843635),3248,,FLHN,Livingstone,,Southern
AHA,Asia/Tokyo,Naha AFB,OKA,JP,POINT (127.65 26.2),32,,,,,
AME,Africa/Maputo,Alto Molocue,AME,MZ,POINT (37.583332 -15.833333),1784,,"",,,
BCZ,Australia/Darwin,Bickerton Island,BCZ,AU,POINT (137.8 -13.783333),85,,"",,,
AXO,Asia/Makassar,Bandar Udara Pantar,AXO,ID,POINT (124.219278 -8.244694),49,,,Pantar,,
MDN,America/Indiana/Indianapolis,Jefferson Proving Grd,MDN,US,POINT (-85.38333 38.733334),442,http://www.madisonmunicipalairport.com/,KIMS,Madison,Jefferson County,Indiana
YLR,America/Winnipeg,Leaf Rapids,YLR,CA,POINT (-99.9852982 56.5133018),959,,CYLR,,,
CNY,America/Denver,Canyonlands Field,CNY,US,POINT (-109.748812 38.7584059),4507,,KCNY,Moab,Grand County,Utah
CTV,Africa/Luanda,Catoca Airport,CTV,AO,POINT (20.311478 -9.430985),3523,,,Saurimo,,Lunda Sul Province
CWP,Asia/Karachi,Campbellpore,CWP,PK,POINT (72.433334 33.766666),1141,,,Sanjwal,,Punjab
YLJ,America/Regina,Meadow Lake,YLJ,CA,POINT (-108.666664 54.5),1576,,CYLJ,,,
MDG,Asia/Shanghai,Mudanjiang Airport,MDG,CN,POINT (129.56714084864257 44.5245786),853,,ZYMD,Xinglong,,Heilongjiang Sheng
BCP,Pacific/Port_Moresby,Bambu,BCP,PG,POINT (146.48334 -5.85),4301,,AYBC,,,
MEK,Africa/Casablanca,Meknes,MEK,MA,POINT (-5.533333 33.88333),1837,,GMFM,Meknes,Meknes,Meknes-Tafilalet
JPO,America/Recife,Brigadeiro Firmino Ayres Airport,NVM,BR,POINT (-37.25184761766 -7.037496939556),850,,SNTS,Patos,,
JPE,America/Sao_Paulo,Nagib Demachki Airport,JPE,BR,POINT (-47.316389 -3.019722),443,,SNEB,Paragominas,,
JPY,America/Sao_Paulo,Paraty Airport,JPY,BR,POINT (-44.720278 -23.224444),10,,SDTK,Paraty,,
YJF,America/Yellowknife,Fort Liard,YJF,CA,POINT (-123.47007861169465 60.23598605),708,,CYJF,,,
YCM,America/Toronto,Niagara District Airport,YCM,CA,POINT (-79.17194175161795 43.192976900000005),321,,CYSN,Niagara-on-the-Lake,,Ontario
BHL,America/Santa_Isabel,Bahia Angeles,BHL,MX,POINT (-113.55 28.95),0,,"",,,
MEA,America/Sao_Paulo,Macae,MEA,BR,POINT (-41.76577364545359 -22.343171050000002),19,,SBME,Macae,Macae,Rio de Janeiro
MEF,Africa/Ndjamena,Melfi,MEF,TD,POINT (17.9398765 11.0611795),1259,,"",Melfi,,Guera
NNK,America/Anchorage,Naknek,NNK,US,POINT (-157.02035706051322 58.732891800000004),42,,"5NK",,,
WTL,America/Anchorage,Tuntutuliak,WTL,US,POINT (-162.6565166 60.3504323),36,,A61,,,
YPS,America/Halifax,Port Hawkesbury,YPS,CA,POINT (-61.367937113526764 45.656802049999996),377,http://www.porthawkesburyairport.com/,CYPD,,,
OOD,Australia/Perth,Gudai-Darri Airstrip,OOD,AU,POINT (119.07625111164 -22.503574253549),1456,,YKDD,Newman,,Western Australia
YPR,America/Vancouver,Digby Island Airport,YPR,CA,POINT (-130.3999939 54.3167),116,http://www.ypr.ca/,CYPR,,,
VSK,America/Los_Angeles,Vista Field,VSK,US,POINT (-119.212546 46.21861),515,,,Kennewick,Benton County,Washington
BNF,America/Sitka,Warm Spring Bay SPB,BNF,US,POINT (-135 57),4032,,"",,,
CGX,America/Chicago,Merrill C Meigs,CHI,US,POINT (-87.60833 41.85889),567,,,,,
CHW,Asia/Shanghai,Jiuhuang,CHW,CN,POINT (98.416664 39.85),4937,,,,,
COD,America/Denver,Yellowstone Regional Airport,COD,US,POINT (-109.02185342965336 44.520751950000005),5088,http://www.flyyra.com/,KCOD,Cody,Park County,Wyoming
MEG,Africa/Luanda,Malange,MEG,AO,POINT (16.315173699797686 -9.52508625),3832,,FNMA,Malanje,Malanje Municipality,Malanje
XOF,Europe/London,Stratford International Rail Station,LON,GB,POINT (0.06 51.51),0,,,,,
MEP,Asia/Kuala_Lumpur,Mersing,MEP,MY,POINT (103.833336 2.416667),55,,WMAU,Mersing,Daerah Mersing,Johor
AKV,America/Iqaluit,Akulivik,AKV,CA,POINT (-78.583336 60.733334),839,,CYKO,,,
ANH,Pacific/Guadalcanal,Anuha Island Resort,ANH,SB,POINT (160.5 -8.983333),0,,,,,
YKJ,America/Regina,Key Lake,YKJ,CA,POINT (-105.617996 57.2560997),1679,,CYKJ,,,
YMG,America/Toronto,Manitouwadge,YMG,CA,POINT (-85.86072073634787 49.0828647),1198,,CYMG,,,
BDO,Asia/Jakarta,Husein Sastranegara Airport,BDO,ID,POINT (107.57604750542606 -6.8995168499999995),2421,,WICC,Bandung,,West Java
YUD,America/Montreal,Umiujaq,YUD,CA,POINT (-76.5191558 56.5382204),250,,CYMU,,,
YFJ,America/Yellowknife,Snare Lake,YFJ,CA,POINT (-114.076634 64.1930455),1208,,CYWE,,,
DSY,Asia/Phnom_Penh,Dara Sakor International Airport,DSY,KH,POINT (103.225265056204 10.91482235),75,,,Koh Kong,,
YPC,America/Yellowknife,Paulatuk,YPC,CA,POINT (-124.0745327827381 69.36133480000001),15,,CYPC,,,
BDQ,Asia/Kolkata,Vadodara Airport,BDQ,IN,POINT (73.22706886887818 22.336816749999997),144,http://aai.aero/allAirports/vadodara_generalinfo.jsp,VABO,Vadodara,Vadodara,Gujarat
LAK,America/Yellowknife,Aklavik,LAK,CA,POINT (-135.004754614334 68.22236219999999),23,,CYKD,,,
MEJ,America/New_York,Meadville,MEJ,US,POINT (-80.21177131124765 41.62622935),1377,"http://www.crawfordcountypa.net/portal/page?_dad=portal&_pageid=393,916281&_schema=PORTAL",KGKJ,Meadville,Crawford County,Pennsylvania
EWR,America/New_York,Newark Liberty International Airport,NYC,US,POINT (-74.17725485035348 40.68906405),49,http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html,KEWR,Elizabeth,Union County,New Jersey
MEQ,Asia/Jakarta,Seunagan,MEQ,ID,POINT (96.11667 4.15),29,,WITC,Meulaboh,,Aceh
YXN,America/Rankin_Inlet,Whale Cove,YXN,CA,POINT (-92.60009968114039 62.2416682),40,,CYXN,,,
IUP,America/Manaus,Lorenzo Airport,IUP,BR,POINT (-59.8393706089647 -7.1726927603202),616,,,Apui,,
MEU,America/Santarem,Monte Dourado,MEU,BR,POINT (-52.60197779839184 -0.8896558000000001),649,,SBMD,Almeirim,Almeirim,Para
RLD,America/Los_Angeles,Richland,RLD,US,POINT (-119.30409421518716 46.30361055),393,,,Richland,Benton County,Washington
LEG,Africa/Nouakchott,Aleg,LEG,MR,POINT (-13.95 17.166668),0,,,,,
YSK,America/Iqaluit,Sanikiluaq Airport,YSK,CA,POINT (-79.24933782095911 56.53683365),104,,CYSK,,,
MER,America/Los_Angeles,Castle AFB,MCE,US,POINT (-120.48333 37.3),164,,KMER,Merced,Merced County,California
MES,Asia/Jakarta,Polonia,MES,ID,POINT (98.672775 3.561111),68,,WIMK,Medan,,North Sumatra
NOR,Atlantic/Reykjavik,Nordfjordur,NOR,IS,POINT (-22 65.166664),1102,,BINF,,,
YCK,America/Yellowknife,Colville Lake,YCK,CA,POINT (-126.12863549570841 67.02074845),869,,CYVL,,,
MFG,Asia/Karachi,Muzaffarabad,MFG,PK,POINT (73.46667 34.36667),2253,,OPMF,Muzaffarabad,,Azad Kashmir
MFI,America/Chicago,Municipal,MFI,US,POINT (-90.18667 44.63389),1236,,KMFI,Marshfield,Wood County,Wisconsin
YSP,America/Toronto,Marathon,YSP,CA,POINT (-86.35 48.75),1035,,CYSP,,,
YST,America/Winnipeg,Ste Therese Point,YST,CA,POINT (-94.65 53.85),773,,CYST,,,
YTA,America/Toronto,Pembroke And Area Airport,YTA,CA,POINT (-77.24944 45.861668),529,http://www.flycyta.ca/,CYTA,,,
BXL,Pacific/Fiji,Blue Lagoon,BXL,FJ,POINT (179 -16.75),620,,"",,,
YTQ,America/Montreal,Tasiujuaq Airport,YTQ,CA,POINT (-69.95633 58.6678),122,,CYTQ,,,
COH,Asia/Kolkata,Cooch Behar,COH,IN,POINT (89.46984059334517 26.32970445),91,,VECO,Koch Bihar,Koch Bihar,West Bengal
DDD,Indian/Maldives,Dhaalu Airport,DDD,MV,POINT (72.88611679765515 2.66648215),0,,VRMU,Kudahuvadhoo,,Dhaalu Atholhu
YTW,Asia/Urumqi,Yutian Wanfang Airport,YTW,CN,POINT (81.79149269333863 36.80990525),4728,,ZWYT,,Yutian County,Xinjiang
YGZ,America/Iqaluit,Grise Fiord,YGZ,CA,POINT (-82.90958377076656 76.42610205),146,,CYGZ,,,
YLH,America/Toronto,Lansdowne House,YLH,CA,POINT (-87.9341965 52.1955986),834,,CYLH,,,
DUN,America/Godthab,Dundas,DUN,GL,POINT (-68.77556 76.577225),0,,,,,
YTL,America/Winnipeg,Big Trout,YTL,CA,POINT (-89.90035954975068 53.81987275),729,,CYTL,,,
COK,Asia/Kolkata,Cochin International Airport,COK,IN,POINT (76.39248892735499 10.15448595),29,http://www.cial.aero/,VOCI,Angamali,Ernakulam,Kerala
DWF,America/New_York,Wright AFB,DAY,US,POINT (-84.183334 39.666668),879,,,Kettering,Montgomery County,Ohio
EFB,America/Juneau,Eight Fathom Bight,EFB,US,POINT (-135.73334 58),0,,,,,
JDE,Asia/Shanghai,Jiande Qiandaohu Airport,JDE,CN,POINT (119.18551273837 29.354412074477),180,,,Jiande,,
CYA,America/Port-au-Prince,Les Cayes,CYA,HT,POINT (-73.7919727086445 18.2700495),196,,MTCA,Les Cayes,,Sud
MFK,Asia/Taipei,Matsu Beigan Airport,MFK,TW,POINT (119.916664 26.166668),0,http://www.tsa.gov.tw/tsaMFK/en/page.aspx?id=1174,RCMT,Nangan,Lienchiang,Fukien
MEW,Africa/Lubumbashi,Mweka,MEW,CD,POINT (21.542574619772104 -4.85500025),1856,,FZVM,Mweka,,Kasai-Occidental
MFF,Africa/Libreville,Moanda,MFF,GA,POINT (13.253905585719252 -1.5279430999999999),1883,,FOOD,Moanda,,Haut-Ogooue
SPK,Asia/Tokyo,Sapporo	Metropolitan Area,SPK,JP,POINT (41.3405138551 43.09367523914),3835,,,Sapporo,,Hokaido
YVM,America/Pangnirtung,Qikiqtarjuaq,YVM,CA,POINT (-63.833332 67.583336),21,,CYVM,,,
MFS,America/Bogota,Miraflores,MFS,CO,POINT (-73.25 5.166667),10387,,SKMF,Miraflores,,Boyaca
MFT,America/Lima,Machu Picchu,MFT,PE,POINT (-72.566666 -13.116667),9767,,,Santa Teresa,Provincia de La Convencion,Cusco
WTC,America/New_York,World Trade Center,NYC,US,POINT (-74.01667 40.7),0,,,,,
MBN,Australia/Perth,Mt Barnett,MBN,AU,POINT (125 -15),0,,,,,
MFQ,Africa/Niamey,Maradi,MFQ,NE,POINT (7.124447553561355 13.50119435),1181,,DRRM,Maradi,,Maradi
AGZ,Africa/Johannesburg,Aggeneys,AGZ,ZA,POINT (18.85 -29.05),2818,,FAAG,Pofadder,Namakwa District Municipality,Northern Cape
DBR,Asia/Kolkata,Darbhanga Airport,DBR,IN,POINT (85.9118892 26.1967856),134,,VE89,Darbhanga,,Bihar
DDC,America/Chicago,Dodge City Municipal Airport,DDC,US,POINT (-99.9657378 37.7611827),2582,,KDDC,Dodge City,Ford County,Kansas
MFR,America/Los_Angeles,Rogue Valley International-Medford Airport,MFR,US,POINT (-122.87342921752662 42.3727441),1282,,KMFR,Medford,Jackson County,Oregon
MZD,America/Guayaquil,Mendez,MZD,EC,POINT (-78.316666 -2.733333),2093,,"",,,
YPB,America/Vancouver,Port Alberni,YPB,CA,POINT (-124.8150024 49.2318993),250,http://www.acrd.bc.ca/avra,CBS8,,,
ZLT,America/Blanc-Sablon,La Tabatiere,ZLT,CA,POINT (-58.97623897020986 50.83005065),102,,CTU5,,,
LPB,America/La_Paz,El Alto International Airport,LPB,BO,POINT (-68.19026097558837 -16.512220550000002),13221,,SLLP,La Paz,,La Paz
YNL,America/Regina,Points North Landing,YNL,CA,POINT (-104.079962 58.2688607),1605,,CYNL,,,
DIO,America/Nome,Diomede Island,DIO,US,POINT (-168.95 65.75),141,,,,,
YYL,America/Winnipeg,Lynn Lake,YYL,CA,POINT (-101.075996 56.8638992),1170,,CYYL,,,
YYU,America/Toronto,Kapuskasing Airport,YYU,CA,POINT (-82.46398397530788 49.40840675),743,,CYYU,,,
EEA,America/Sao_Paulo,Aeroporto Regional do Planalto Serrano,EEA,BR,POINT (-50.34963377743513 -27.63194875),2880,,SNCP,Correia Pinto,,
TKM,America/Guatemala,El Peten,TKM,GT,POINT (-89.6059401 17.2281137),0,,,,,
ERH,Africa/Casablanca,Moulay Ali Cherif Airport,ERH,MA,POINT (-4.401642404012675 31.9476048),3366,,GMFK,Errachidia,Errachidia,Meknes-Tafilalet
ERI,America/New_York,Erie International Airport,ERI,US,POINT (-80.17440312485985 42.0847174),705,,KERI,Fairview,Erie County,Pennsylvania
ERL,Asia/Shanghai,Eren Hot Airport,ERL,CN,POINT (112.09475176884322 43.42349855),3280,,ZBER,Erenhot,,Inner Mongolia
EXT,Europe/London,Exeter International Airport,EXT,GB,POINT (-3.412883379837215 50.7347944),78,http://www.exeter-airport.co.uk/,EGTE,Topsham,Devon,England
FFA,America/New_York,First Flight,FFA,US,POINT (-75.67153016364745 36.0176628),26,,KFFA,Kill Devil Hills,Dare County,North Carolina
SUR,America/Toronto,Summer Beaver,SUR,CA,POINT (-88.54191711088025 52.70772085),793,,CJV7,,,
XGL,America/Winnipeg,Granville Lake,XGL,CA,POINT (-100.55 56.233334),849,,,,,
NEI,Asia/Vladivostok,Terney Airport,NEI,RU,POINT (136.590342226 45.0814450773),19,,,Terney,,
